date,time,ms
15-6-2020,11:30:31,3.929
15-6-2020,11:30:32,3.157
15-6-2020,11:30:33,2.375
15-6-2020,11:30:34,2.407
15-6-2020,11:30:35,2.917
15-6-2020,11:30:36,3.026
15-6-2020,11:30:37,3.67
15-6-2020,11:30:38,2.68
15-6-2020,11:30:39,2.528
15-6-2020,11:30:40,2.65
15-6-2020,11:30:41,5.872
15-6-2020,11:30:42,2.793
15-6-2020,11:30:43,2.441
15-6-2020,11:30:44,3.134
15-6-2020,11:30:45,2.583
15-6-2020,11:30:46,2.654
15-6-2020,11:30:47,2.502
15-6-2020,11:30:48,3.792
15-6-2020,11:30:49,2.394
15-6-2020,11:30:50,2.638
15-6-2020,11:30:51,3.076
15-6-2020,11:30:52,3.584
15-6-2020,11:30:53,3.773
15-6-2020,11:30:54,2.921
15-6-2020,11:30:55,3.127
15-6-2020,11:30:56,2.924
15-6-2020,11:30:57,2.733
15-6-2020,11:30:58,2.497
15-6-2020,11:30:59,3.372
15-6-2020,11:31:00,2.297
15-6-2020,11:31:01,2.504
15-6-2020,11:31:02,3.014
15-6-2020,11:31:03,2.493
15-6-2020,11:31:04,3.154
15-6-2020,11:31:05,2.531
15-6-2020,11:31:06,2.349
15-6-2020,11:31:07,2.245
15-6-2020,11:31:08,4.322
15-6-2020,11:31:09,2.51
15-6-2020,11:31:10,2.155
15-6-2020,11:31:11,2.246
15-6-2020,11:31:12,2.323
15-6-2020,11:31:13,3.126
15-6-2020,11:31:14,2.747
15-6-2020,11:31:15,2.871
15-6-2020,11:31:16,2.178
15-6-2020,11:31:17,2.202
15-6-2020,11:31:18,2.675
15-6-2020,11:31:19,2.89
15-6-2020,11:31:20,2.586
15-6-2020,11:31:21,5.475
15-6-2020,11:31:22,2.283
15-6-2020,11:31:23,2.577
15-6-2020,11:31:24,4.068
15-6-2020,11:31:25,4.714
15-6-2020,11:31:26,2.384
15-6-2020,11:31:27,2.553
15-6-2020,11:31:28,2.535
15-6-2020,11:31:29,2.308
15-6-2020,11:31:30,2.9
15-6-2020,11:31:31,2.51
15-6-2020,11:31:32,2.504
15-6-2020,11:31:33,4.673
15-6-2020,11:31:34,2.398
15-6-2020,11:31:35,3.472
15-6-2020,11:31:36,2.479
15-6-2020,11:31:37,2.398
15-6-2020,11:31:38,2.848
15-6-2020,11:31:39,3.61
15-6-2020,11:31:40,2.505
15-6-2020,11:31:41,3.288
15-6-2020,11:31:42,2.372
15-6-2020,11:31:43,2.847
15-6-2020,11:31:44,3.055
15-6-2020,11:31:45,3.829
15-6-2020,11:31:46,3.369
15-6-2020,11:31:47,2.752
15-6-2020,11:31:48,2.621
15-6-2020,11:31:49,2.638
15-6-2020,11:31:50,3.123
15-6-2020,11:31:51,3.73
15-6-2020,11:31:52,2.546
15-6-2020,11:31:53,2.542
15-6-2020,11:31:54,2.718
15-6-2020,11:31:55,2.949
15-6-2020,11:31:56,3.221
15-6-2020,11:31:57,2.691
15-6-2020,11:31:58,2.759
15-6-2020,11:31:59,3.192
15-6-2020,11:32:00,4.216
15-6-2020,11:32:01,3.121
15-6-2020,11:32:02,3.539
15-6-2020,11:32:03,2.75
15-6-2020,11:32:04,2.64
15-6-2020,11:32:05,2.009
15-6-2020,11:32:06,2.433
15-6-2020,11:32:07,3.305
15-6-2020,11:32:08,3.851
15-6-2020,11:32:09,2.665
15-6-2020,11:32:10,3.04
15-6-2020,11:32:11,2.688
15-6-2020,11:32:12,2.338
15-6-2020,11:32:13,3.193
15-6-2020,11:32:14,2.275
15-6-2020,11:32:15,2.319
15-6-2020,11:32:16,2.731
15-6-2020,11:32:17,3.017
15-6-2020,11:32:18,2.191
15-6-2020,11:32:19,8.048
15-6-2020,11:32:20,2.488
15-6-2020,11:32:21,3.148
15-6-2020,11:32:22,3.142
15-6-2020,11:32:23,2.318
15-6-2020,11:32:24,2.721
15-6-2020,11:32:25,3.328
15-6-2020,11:32:26,2.285
15-6-2020,11:32:27,2.57
15-6-2020,11:32:28,3.149
15-6-2020,11:32:29,2.585
15-6-2020,11:32:30,2.197
15-6-2020,11:32:31,4.382
15-6-2020,11:32:32,2.469
15-6-2020,11:32:33,3.084
15-6-2020,11:32:34,2.292
15-6-2020,11:32:35,2.383
15-6-2020,11:32:36,2.422
15-6-2020,11:32:37,2.442
15-6-2020,11:32:38,2.425
15-6-2020,11:32:39,2.802
15-6-2020,11:32:40,2.902
15-6-2020,11:32:41,2.475
15-6-2020,11:32:42,2.485
15-6-2020,11:32:43,2.305
15-6-2020,11:32:44,3.546
15-6-2020,11:32:45,2.754
15-6-2020,11:32:46,2.973
